Gene;Ratio;p_value;FDR;hits
ASB3;1,226508577;0,368078541;0,743456091;FALSE
UBE3A;1,09905733;0,364291725;0,737897727;FALSE
RNF151;0,783999848;0,361093969;0,733504274;FALSE
5-Mar;1,456548534;0,360897616;0,733504274;FALSE
RNF130;1,349964733;0,360897616;0,733504274;FALSE
LNX1;0,900566192;0,360785414;0,733504274;FALSE
TRIM68;1,240619862;0,359831697;0,733504274;FALSE
UBR3;1,211231877;0,358008415;0,733504274;FALSE
TRIM39;0,869877511;0,35657784;0,733504274;FALSE
HECTD4;1,442127192;0,351921459;0,729418605;FALSE
FBXO11;1,211655244;0,350406732;0,728396501;FALSE
TRIM15;1,026313904;0,349256662;0,728128655;FALSE
RANBP2;0,91135476;0,349004208;0,728128655;FALSE
RPL18;1,27131886;0,348162693;0,728128655;FALSE
USP33;1,298010514;0,347854137;0,728128655;FALSE
AURKA;0,900169784;0,347741935;0,728128655;FALSE
RBBP7;0,824573641;0,34687237;0,728128655;FALSE
USP1;0,779023427;0,346647966;0,728128655;FALSE
ASB2;1,146280545;0,343281907;0,728128655;FALSE
TRIM24;0,854305873;0,341065919;0,728083832;FALSE
WWP1;0,923705769;0,336605891;0,720720721;FALSE
UBE2V2;0,803988352;0,335764376;0,720720721;FALSE
USP9Y;1,274742387;0,335652174;0,720720721;FALSE
UBE2F;1,607046531;0,335147265;0,720720721;FALSE
SPSB3;0,680443706;0,333548387;0,720720721;FALSE
TRIM17;1,092836255;0,331051893;0,719634146;FALSE
OTUD6B;1,084550333;0,330042076;0,719633028;FALSE
UCHL1;1,190032614;0,326760168;0,714662577;FALSE
RNF126;0,896372795;0,326535764;0,714662577;FALSE
USP44;1,078428859;0,321570827;0,707654321;FALSE
USP32;0,764850162;0,31826087;0,7025387;FALSE
TRIM69;1,471962878;0,317840112;0,7025387;FALSE
WSB2;1,154727689;0,317840112;0,7025387;FALSE
IRAK4;0,897337839;0,315119215;0,702125;FALSE
ASB9;1,235402583;0,314193548;0,702125;FALSE
TRIM54;1,79117329;0,312987377;0,701761006;FALSE
NEDD4;1,036459226;0,311360449;0,700315457;FALSE
PAFAH1B1;0,675587839;0,307769986;0,69443038;FALSE
PDE4D;1,237840311;0,306788219;0,694412698;FALSE
JOSD2;0,764747362;0,305077139;0,692738854;FALSE
ASB8;0,68904399;0,303281907;0,69086262;FALSE
PDZRN4;1,055477851;0,302917251;0,69086262;FALSE
TRIM65;0,745020224;0,30171108;0,69086262;FALSE
SOCS2;1,186603983;0,300673212;0,69086262;FALSE
WDSUB1;1,388508595;0,298345021;0,688414239;FALSE
PEX2;0,752050533;0,29828892;0,688414239;FALSE
OSTM1;1,412737157;0,293660589;0,682019544;FALSE
